"","Year","Area","Street","Street.2"
"146",2011,"","Outside Java Lounge Alcester Rd.",""
"147",2011,"","Outside O Academy Night Club B Ham City Centre",""
"148",2011,"","Outside Raven Public House",""
"149",2011,"","Packington Ave. Shard End",""
"150",2011,"","Pk. Off Hob Moor Rd.",""
"151",2011,"","Parkhall Croft",""
"152",2011,"","Pear Tree PH",""
"153",2011,"","Police Station",""
"154",2011,"","Police Station Stechford",""
"155",2011,"","Poplar Rd.",""
"156",2011,"","Poplar Rd.",""
"157",2011,"","Poplar Rd. Solihull",""
"158",2011,"","Poplar Rd. Solihull",""
"159",2011,"","Preston Rd.",""
"160",2011,"","Priory Rd. Hall Gr.",""
"161",2011,"","Prospect Rd.",""
"162",2011,"","Queenswood Rd.",""
"163",2011,"","Rear Of Boots High Str.",""
"164",2011,"","REDDINGS LANE TSYLEY",""
"165",2011,"","Richmond Primary Care Centre Richmond Rd. Stechford",""
"166",2011,"","Ring Rd. Stourbridge",""
"167",2011,"","Sainsburys Wawrick Rd.",""
"168",2011,"","Sainsburys Alcester Rd. South",""
"169",2011,"","Sandford Rd. Moseley",""
"170",2011,"","Sarehole Mill",""
"171",2011,"","Sedgemere Rd.",""
"172",2011,"","Shirley Rd.",""
"173",2011,"","SHirley Rd.",""
"174",2011,"","Snow Hill",""
"175",2011,"","Solihull Lan.",""
"176",2011,"","St Mary S Rd. Moseley",""
"177",2011,"","St Marys Row",""
"178",2011,"","Station Rd.",""
"179",2011,"","Station Way Birmingham International Rail Station",""
"180",2011,"","Stechford Front Office",""
"181",2011,"","Stechford P S",""
"182",2011,"","Stechford Retail Pk.",""
"183",2011,"","Stonehenge Croft Druids Heath",""
"184",2011,"","Stoney Lan.",""
"185",2011,"","Stoney Lan.",""
"186",2011,"","Stoney Lan.",""
"187",2011,"","STRATFORD HEATH SPARK HILL BIRMINGHAM",""
"188",2011,"","Stratford Rd.",""
"189",2011,"","Stratford Rd.",""
"190",2011,"","Stratford Rd.",""
"191",2011,"","Stratford Rd. Hall Gr.",""
"192",2011,"","Stratford Roads",""
"193",2011,"","Stuart Rd. Stechford",""
"194",2011,"","Talbort Str.",""
"195",2011,"","Taunton Rd.",""
"196",2011,"","Tavistock Rd.",""
"197",2011,"","The Ave.",""
"198",2011,"","The Paer Tree Pub",""
"199",2011,"","Trafalger Rd.",""
"200",2011,"","Wake Gr. Rd.",""
"201",2011,"","Ward End Rd.",""
"202",2011,"","Warwick Rd.",""
"203",2011,"","Warwick Rd.",""
"204",2011,"","Warwick Rd.",""
"205",2011,"","Warwick Rd.",""
"206",2011,"","Warwick Rd.",""
"207",2011,"","Warwick Rd. Tysley",""
"208",2011,"","Wash Lan.",""
"209",2011,"","Washford Heath Rd.",""
"210",2011,"","Washwood Heath Pub",""
"211",2011,"","WASHWOOD HEATH RD WASHWOOD HEATH BHAM",""
"212",2011,"","Washwood Heath Rd.",""
"213",2011,"","Washwood Heath Rd.",""
"214",2011,"","Washwood Heath Rd.",""
"215",2011,"","Washwood Heath Rd.",""
"216",2011,"","Watery Lan. Middleway Birmingham",""
"217",2011,"","Wawrick Rd.",""
"218",2011,"","Welshfarm Rd. Quinton",""
"219",2011,"","Westley Rd.",""
"220",2011,"","Westley Rd. Acocks Gr.",""
"221",2011,"","White Hart Public House",""
"222",2011,"","White Hart Public House",""
"223",2011,"","Whiteheart Pub Gressell Lan.",""
"224",2011,"","William Hill Bookmakers Washwood Heath Rd.",""
"225",2011,"","William Hill Bookmakers Washwood Heath Rd.",""
"226",2011,"","William Hill Washwood Heath Rd.",""
"227",2011,"","Windward Rd.",""
"228",2011,"","Windward Rd.",""
"229",2011,"","Wood End Rd. Erdington",""
"230",2011,"","Woodbridge Rd. Moseley",""
"231",2011,"","Wright Str.",""
"232",2011,"","Yardley Gr. Rd.",""
"233",2011,"","Yardley Rd. Acocks Gr.",""
"234",2011,"","Yardley Wood Rd.",""
"235",2011,"","Yardley Wood Rd.",""
"236",2011,"","Yew Tree Car Pk.",""
"237",2011,"","Yew Tree Lan.",""
"238",2011,"","Yew Tree Public House Car Pk.",""
"239",2011,"","Armada Pub Slade Rd. Erdington Birmingham",""
"240",2011,"","Armarda Pub Gravelly Hill",""
"241",2011,"","Armarda Pub Gravelly Hill",""
"242",2011,"","BADGERS BANK ROAD",""
"243",2011,"","Baldmoor Lake Rd. Erdington Birmingham",""
"244",2011,"","Bandywood Rd Kingstanding",""
"245",2011,"","Beckenham Rd.",""
"246",2011,"","Beeches Walk",""
"247",2011,"","BIRMINGHAM RD",""
"248",2011,"","BIRMINGHAM RD",""
"249",2011,"","Birmingham Rd SC",""
"250",2011,"","Birmingham Rd.",""
"251",2011,"","Birmingham Rd.",""
